Employed people,,
,Trend ('000),Seasonally adjusted ('000)
Aug-14,11546.00,11549.20
Sep-14,11552.90,11546.80
Oct-14,11563.80,11542.20
Nov-14,11579.00,11542.20
Dec-14,11598.60,11597.30
Jan-15,11622.00,11609.90
Feb-15,11647.60,11672.50
Mar-15,11672.80,11693.60
Apr-15,11695.30,11692.00
May-15,11715.30,11733.50
Jun-15,11734.90,11727.50
Jul-15,11757.00,11759.80
Aug-15,11783.80,11763.30
Sep-15,11814.80,11783.50
Oct-15,11846.70,11860.60
Nov-15,11877.20,11893.70
Dec-15,11902.70,11905.90
Jan-16,11920.80,11914.90
Feb-16,11933.90,11925.30
Mar-16,11943.80,11941.90
Apr-16,11953.10,11948.00
May-16,11961.30,11941.70
Jun-16,11967.10,11963.30
Jul-16,11970.20,11994.00
Aug-16,11972.20,11954.50
Sep-16,11974.30,11942.10
Oct-16,11977.90,11960.70
Nov-16,11984.30,11987.60
Dec-16,11994.90,12015.30
Jan-17,12013.10,12042.40
Feb-17,12039.20,12014.20
Mar-17,12073.20,12076.10
Apr-17,12114.20,12132.50
May-17,12157.80,12165.00
Jun-17,12200.60,12198.00
Jul-17,12239.60,12228.20
Aug-17,12273.90,12280.70
Sep-17,12304.30,12321.60
Oct-17,12332.50,12325.00
Nov-17,12359.20,12368.80
Dec-17,12383.50,12395.10
Jan-18,12403.60,12442.10
Feb-18,12419.00,12420.80
Mar-18,12432.40,12443.20
Apr-18,12447.70,12460.00
May-18,12468.60,12452.80
Jun-18,12496.20,12523.10
Jul-18,12528.00,12515.50
Aug-18,12561.70,12584.30
Sep-18,12594.60,12601.50
Oct-18,12624.20,12624.40
Nov-18,12649.80,12646.00
Dec-18,12674.00,12666.50
Jan-19,12699.50,12723.40
Feb-19,12726.40,12724.20
Mar-19,12754.20,12750.00
Apr-19,12781.90,12785.20
May-19,12808.90,12792.60
Jun-19,12832.90,12805.90
Jul-19,12852.30,12826.90
Aug-19,12866.80,12880.60
Sep-19,12877.80,12903.40
Oct-19,12888.30,12852.60
Nov-19,12899.60,12877.60
Dec-19,12910.60,12919.60
Jan-20,12918.50,12941.30
Feb-20,12922.30,12929.30
Mar-20,12922.50,12928.10
Apr-20,,12346.80
May-20,,12051.90
Jun-20,,12281.50
Jul-20,,12404.10
Aug-20,,12548.10
Sep-20,,12520.40
Oct-20,,12656.70
Nov-20,,12747.10
Dec-20,,12793.20
Jan-21,,12841.70
Feb-21,,12890.80
Mar-21,,12959.30
Apr-21,,12947.80
May-21,,13037.00
Jun-21,,13062.20
Jul-21,,13069.70
Aug-21,,12945.30
Sep-21,,12827.80
Oct-21,,12775.40
Nov-21,,13147.50
Dec-21,,13228.70
Jan-22,,13286.90
Feb-22,,13371.60
Mar-22,,13396.60
Apr-22,13473.60,13446.50
May-22,13527.50,13480.90
Jun-22,13574.60,13582.30
Jul-22,13615.70,13572.80
Aug-22,13651.40,13650.50
Sep-22,13682.80,13670.20
Oct-22,13711.80,13705.70
Nov-22,13741.40,13781.30
Dec-22,13774.30,13770.20
Jan-23,13812.60,13794.10
Feb-23,13854.80,13840.40
Mar-23,13898.50,13938.90
Apr-23,13941.30,13922.70
May-23,13981.40,14004.90
Jun-23,14017.90,14025.90
Jul-23,14051.20,14007.50
Aug-23,14080.70,14084.40
Sep-23,14107.40,14096.40
Oct-23,14131.80,14148.40
Nov-23,14154.20,14207.20
Dec-23,14175.80,14147.70
Jan-24,14197.20,14149.80
Feb-24,14221.70,14263.10
Mar-24,14251.20,14253.10
Apr-24,14285.40,14282.10
May-24,14323.30,14315.50
Jun-24,14363.10,14362.20
Jul-24,14403.30,14411.10
Aug-24,14443.60,14458.60
,,
"Large month-to-month changes occurred during the COVID-19 pandemic, resulting in multiple trend breaks. The ABS recommends caution when using trend estimates published in spreadsheets in this release for this period. Information on trend breaks can be found in Labour Force, Australia methodology, August 2024.",,
,,
"Source: Australian Bureau of Statistics, Labour Force, Australia August 2024",,
